juris_zn,juris_zn_manual_match
Kitsap_Bucklin_Hill_Center,Kitsap_Silverdale_Bucklin_Hill
Kitsap_Clear_Creek_Village,Kitsap_Silverdale_Clear_Creek
Kitsap_Kitsap_Mall_Center,Kitsap_Silverdale_Kitsap_Mall
Kitsap_Northeast_Business_Park,Kitsap_Silverdale_Northeast_Business
Kitsap_Old_Town_Center_District,Kitsap_Silverdale_Old_Town
Kitsap_Provost_Commercial_District,Kitsap_Silverdale_Provost_Commercial
Kitsap_Waaga_Way_Town_Center,Kitsap_Silverdale_Waaga_Way
Kitsap_Waterfront_District,Kitsap_Silverdale_Waterfront
Kitsap_West_Hill_Neighborhood,Kitsap_Silverdale_West_Hill
Tacoma_PTD-A,Tacoma_PTD
Tacoma_PTD-B,Tacoma_PTD
Tacoma_VSD-20,Tacoma_VS-20
Tacoma_VSD-25,Tacoma_VS-25
